date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
01-01-2016,4638.5,632.6749878,401.8999939,2518,2686.050049,1737.084961,443.8500061,325.0750122,88.80000305,40552.14844
04-01-2016,4580.649902,621.25,377.0499878,2483.350098,2637.800049,1749.530029,435.4500122,326.0249939,92,40505.85156
05-01-2016,4566.950195,624.5999756,374.4500122,2502.350098,2616.850098,1715.98999,428.7250061,326.1749878,93.09999847,40593.25
06-01-2016,4480.799805,613.0750122,365.8999939,2485.5,2578.199951,1752.505005,438.1749878,326.6749878,92.69999695,40419.19922
07-01-2016,4267.899902,598.7249756,343.5499878,2419.25,2520.100098,1703.564941,412.3250122,326.2749939,91.34999847,39066.25
08-01-2016,4214.75,599,353.3500061,2375.850098,2489.649902,1724.140015,415.75,325.9500122,90.75,38638.55078
11-01-2016,4272.399902,581.2999878,360.2000122,2360.5,2505.449951,1723.910034,413.6499939,320.3500061,92.40000153,38978.64844
12-01-2016,4269,590.9500122,355,2344.350098,2467.199951,1706.680054,407.7999878,323.375,92.09999847,38875.94922
13-01-2016,4291.25,602.5250244,364.6000061,2369.699951,2473.699951,1706.27002,408.7999878,323.75,90.19999695,38443.75
14-01-2016,4248.25,594.2750244,354.2999878,2362.449951,2437.550049,1698.800049,408.4500122,323.0499878,88.59999847,38179.10156
15-01-2016,4273.350098,588.5999756,341.2999878,2322.149902,2427.75,1624.079956,396.375,321.5,85.09999847,37688.05078
18-01-2016,4236.200195,582.8250122,340.2000122,2249.899902,2435.550049,1545.949951,387.9500122,311.6749878,83.09999847,36193.19922
19-01-2016,4198.149902,576.25,354.1499939,2266.300049,2482.800049,1582.375,395.0499878,315.4750061,86.80000305,36362
20-01-2016,4058.949951,575.375,342.25,2278.350098,2488.5,1553.88501,387.375,312.8250122,83.44999695,35040.25
21-01-2016,3891.699951,569.3499756,328.5499878,2272.949951,2469.899902,1555.219971,390.0499878,315,83.59999847,34909.10156
22-01-2016,4104.950195,599.4500122,339.5,2318.850098,2591.5,1647.244995,399.2250061,308.2749939,85.69999695,36236.30078
25-01-2016,4081.350098,589.1500244,332.6000061,2327.300049,2525.199951,1641.61499,406.6000061,305.2749939,86.75,36125.05078
27-01-2016,4111.950195,588.3499756,337.0499878,2302.850098,2482.449951,1623.209961,413.2749939,305.2000122,88.30000305,35761.05078
28-01-2016,4103.299805,602.0750122,334.2000122,2263.399902,2439.600098,1595.89502,410.5,302.8500061,88.15000153,35732.94922
